"Código";"Linha";"Montadora";"Peça";"Aplicação"
"BR-0840";"Borracha";"Mitsubishi";"Borracha central do diferencial dianteiro Pajero GLS 2.5 de 1991 a 1994 Pajero GLS-B de 1993 a 1995 Pajero GLX 2.8 De 1999 a 2007 Pajero Full 3.0 de 1995 a 1999 Pajero Full 3.5 de 1995 a 1999";"Borracha central do diferencial dianteiro Pajero GLS 2.5 de 1991 a 1994 Pajero GLS-B de 1993 a 1995 Pajero GLX 2.8 De 1999 a 2007 Pajero Full 3.0 de 1995 a 1999 Pajero Full 3.5 de 1995 a 1999 Mitsubishi TR4 de 2002 a 2014 L200 2.5 Sport HPE Turbo de 2005 a 2013 L200 2.5 Outdoor Turbo diesel de 2005 a"
"BR-0841";"Borracha";"Mitsubishi";"Borracha central do diferencial dianteiro Pajero TR4 - Pajero IO";"Borracha central do diferencial dianteiro Pajero TR4 - Pajero IO"
"BR-0842";"Borracha";"Mitsubishi";"Borracha do braço transversal da suspensão traseira Interno ø 16,0mm Pajero GLS de 1990 a 2000 GLS-B de 1990 a 2000 GLX de 1990 a";"Borracha do braço transversal da suspensão traseira Interno ø 16,0mm Pajero GLS de 1990 a 2000 GLS-B de 1990 a 2000 GLX de 1990 a"
"BR-0843";"Borracha";"Mitsubishi";"Borracha da barra estabilizadora traseira Interno ø 25,0mm Pajero GL / GLS Pajero Full";"Borracha da barra estabilizadora traseira Interno ø 25,0mm Pajero GL / GLS Pajero Full"
"BR-0844";"Borracha";"Mitsubishi";"Calço antí ruído do feixe de molas traseiro L200 GL/GLS - Sport - HPE Outdoor - Savana (até 2011) 65";"Calço antí ruído do feixe de molas traseiro L200 GL/GLS - Sport - HPE Outdoor - Savana (até 2011) 65"
"BR-0900A";"Borracha";"Nissan Frontier";"Bieleta completa dianteira";"Bieleta completa dianteira Frontier"
"BR-0912A";"Borracha";"Nissan Frontier";"Bucha amortecedor dianteiro inferior Externo ø 41,5mm Interno ø 14,2mm";"Bucha amortecedor dianteiro inferior Externo ø 41,5mm Interno ø 14,2mm Frontier 2008 em diante"
"BR-0915";"Borracha";"Nissan Frontier";"Bucha amortecedor dianteiro inferior Externo ø 27,0mm Interno ø 13,0mm";"Bucha amortecedor dianteiro inferior Externo ø 27,0mm Interno ø 13,0mm Frontier / Xterra (até 2011)"
"BR-0916";"Borracha";"Nissan Frontier";"Pastilha da mola traseira parte traseira";"Pastilha da mola traseira parte traseira Frontier (2012 em diante)"
"BR-0917A";"Borracha";"Nissan Frontier";"Borracha do amortecedor dianteiro superior";"Borracha do amortecedor dianteiro superior Frontier até"
"BR-0917B";"Borracha";"Nissan Frontier";"Borracha do amortecedor dianteiro superior Diâmetro Externo: 40,0mm Diâmetro Interno: 11,0mm";"Borracha do amortecedor dianteiro superior Diâmetro Externo: 40,0mm Diâmetro Interno: 11,0mm Frontier 2008 em diante"
"BR-5013A";"Borracha";"Toyota";"PRODUTO DESATIVADO Borracha do amortecedor dianteiro e inferior (Novo Cód. BR-5022) Externo ø 35,0mm Hilux";"PRODUTO DESATIVADO Borracha do amortecedor dianteiro e inferior (Novo Cód. BR-5022) Externo ø 35,0mm Hilux"
"BR-5023";"Borracha";"Toyota";"Bucha amortecedor dianteiro inferior Externo ø 38,0mm Interno ø 14,2mm Hilux 2005 em diante";"Bucha amortecedor dianteiro inferior Externo ø 38,0mm Interno ø 14,2mm Hilux 2005 em diante"
"BR-5024";"Borracha";"Toyota";"Bucha jumelo traseiro Interno ø 20,0mm Hilux 2013 em diante";"Bucha jumelo traseiro Interno ø 20,0mm Hilux 2013 em diante"
"BR-5025";"Borracha";"Toyota";"Bucha mola traseira Interno ø 20,0mm Hilux 2013 em diante";"Bucha mola traseira Interno ø 20,0mm Hilux 2013 em diante"
